Word/Phrase,CEFR
attractive (adj.) ,A2
audience (n.) ,B1
August (n.) (abbr. Aug.) ,A1
aunt (n.) ,A2
author (n.) ,B1
authority (n.) ,B2
automatic (adj.) ,B2
automatically (adv.) ,B2
autumn (n.) (especially BrE) ,A2
available (adj.) ,A2
"average (adj.), (n.) ",B1
avoid (v.) ,B1
awake (adj.) ,B1
"award (n.), (v.) ",B2
aware (adj.) ,B2
away (adv.) ,A2
awful (adj.) ,B1
awfully (adv.) ,B2
awkward (adj.) ,B2
awkwardly (adv.) ,B2
baby (n.) ,A1
"back (n.), (adj.), (adv.), (v.) ",A1
background (n.) ,B1
backward (adj.) ,C2
"backwards (also backward, especially in NAmE) (adv.) ",B1
bacteria (n.) ,C1
bad (adj.) ,A1
badly (adv.) ,A2
bad-tempered (adj.) ,B2
bag (n.) ,A1
baggage (n.) (especially NAmE) ,B1
bake (v.) ,A2
"balance (n.), (v.) ",B2
ball (n.) ,A1
"ban (v.), (n.) ",B2
band (n.) ,A1
"bandage (n.), (v.) ",B1
bank (n.) ,A1
bar (n.) ,A1
bargain (n.) ,B2
barrier (n.) ,B2
"base (n.), (v.) ",B2
based on ,B1
basic (adj.) ,B1
basically (adv.) ,B2
basis (n.) ,B2
bath (n.) ,A1
bathroom (n.) ,A1
battery (n.) ,A2
battle (n.) ,B1
bay (n.) ,B1
"be (v.), auxiliary (v.) ",A1
be called ,A1
be going to ,A2
be sick (BrE) ,B1
beach (n.) ,A1
beak (n.) ,C1
bear (v.) ,B2
beard (n.) ,A1
"beat (n.), (v.) ",B1
beautiful (adj.) ,A1
beautifully (adv.) ,B1
beauty (n.) ,B1
because (conj.) ,A1
because of (prep.) ,B1
become (v.) ,A2
bed (n.) ,A1
bedroom (n.) ,A1
beef (n.) ,B1
beer (n.) ,A1
"before (prep.), (conj.), (adv.) ",A1
begin (v.) ,A1
beginning (n.) ,A2
"behalf (n.): on behalf of sb, on sb’s behalf (BrE) (NAmE in behalf of sb, in sb’s behalf)  ",B2
behave (v.) ,B1
behaviour (BrE) (NAmE behavior) (n.) ,B1
"behind (prep.), (adv.) ",A1
belief (n.) ,B2
believe (v.) ,A2
bell (n.) ,B1
belong (v.) ,B2
"below (prep.), (adv.) ",A1
belt (n.) ,A2
"bend (v.), (n.) ",B2
"beneath (prep.), (adv.) ",B2
"benefit (n.), (v.) ",B1
bent (adj.) ,B2
beside (prep.) ,A2
"bet (v.), (n.) ",C1
"better, best, good, well ",A1
betting (n.) ,C2
"between (prep.), (adv.) ",A1
"beyond (prep.), (adv.) ",B2
bicycle (also bike) (n.) ,A2
"bid (v.), (n.) ",C1
big (adj.) ,A1
bill (n.) ,A2
bin (n.) (BrE) ,B1
biology (n.) ,A2
bird (n.) ,A1
birth (n.) ,B1
birthday (n.) ,A1
biscuit (n.) (BrE) ,A1
bit (n.) (especially BrE) ,A2
"bite (v.), (n.) ",B1
bitter (adj.) ,B1
bitterly (adv.) ,B1
"black (adj.), (n.) ",A1
blade (n.) ,B2
"blame (v.), (n.) ",B1
"blank (adj.), (n.) ",B1
blankly (adv.) ,B1
blind (adj.) ,B1
"block (n.), (v.) ",B1
"blonde (adj.), (n.), blond (adj.) ",A2
blood (n.) ,A2
"blow (v.), (n.) ",B1
"blue (adj.), (n.) ",A1
"board (n.), (v.) ",A1
boat (n.) ,A1
body (n.) ,A1
boil (v.) ,A2
"bomb (n.), (v.) ",B1
bone (n.) ,B1
"book (n.), (v.) ",A1
boot (n.) ,A2
border (n.) ,B1
bore (v.) ,B2
bored (adj.) ,A1
boring (adj.) ,A1
born: be born (v.) ,A2
borrow (v.) ,A2
boss (n.) ,A2
"both (det.), (pron.)",A1
bother (v.) ,A2
bottle (n.) ,A2
"bottom (n.), (adj.) ",A1
bound (adj.): bound to ,B2
bowl (n.) ,A2
box (n.) ,A1
boy (n.) ,A1
boyfriend (n.) ,A2
brain (n.) ,A2
branch (n.) ,B1
brand (n.) ,B2
brave (adj.) ,B1
bread (n.) ,A1
"break (v.), (n.) ",A2
breakfast (n.) ,A1
breast (n.) ,B1
breath (n.) ,B1
breathe (v.) ,B1
breathing (n.) ,B1
"breed (v.), (n.) ",B2
brick (n.) ,B2
bridge (n.) ,A2
brief (adj.) ,B1
briefly (adv.) ,B1
bright (adj.) ,A2
brightly (adv.) ,B2
brilliant (adj.) ,A2
bring (v.) ,A2
broad (adj.) ,B1
"broadcast (v.), (n.) ",B2
broadly (adv.) ,C1
broken (adj.) ,A2
"broken, break ",A2
brother (n.) ,A1
"brown (adj.), (n.) ",A1
"brush (n.), (v.) ",A2
bubble (n.) ,C1
budget (n.) ,B2
build (v.) ,A2
building (n.) ,A2
bullet (n.) ,B2
bunch (n.) ,B1
burn (v.) ,B1
burnt (adj.) ,B2
burst (v.) ,B2
bury (v.) ,B1
bus (n.) ,A1
bush (n.) ,B2
business (n.) ,A1
"businessman, businesswoman (n.) ",A2
busy (adj.) ,A2
but (conj.) ,A1
butter (n.) ,A1
button (n.) ,B1
buy (v.) ,A1
buyer (n.) ,B1
"by (prep.), (adv.) ",A2
by accident ,B1
by means of ,C1
bye (exclamation) ,A1
c (abbr. cent) ,A2
cabinet (n.) ,B2
cable (n.) ,B1
cake (n.) ,A1
calculate (v.) ,B2
calculation (n.) ,B2
"call (v.), (n.) ",A2
"calm (adj.), (v.), (n.) ",B1
calmly (adv.) ,B2
camera (n.) ,A1
"camp (n.), (v.) ",B1
campaign (n.) ,C1
camping (n.) ,A2
"can (modal) (v.), (n.) ",A1
cancel (v.) ,B1
cancer (n.) ,B1
candidate (n.) ,B1
candy (n.) (NAmE) ,A2
cannot ,A1
cap (n.) ,A2
capable (of) (adj.) ,B2
capacity (n.) ,B2
"capital (n.), (adj.) ",A2
captain (n.) ,B1
"capture (v.), (n.) ",B2
car (n.) ,A1
card (n.) ,A2
cardboard (n.) ,B2
"care (n.), (v.) ",B1
care for ,B2
career (n.) ,B1
careful (adj.) ,A2
carefully (adv.) ,A2
careless (adj.) ,B1
carelessly (adv.) ,B2
carpet (n.) ,A2
carrot (n.) ,A2
carry (v.) ,A1
case (n.) ,A2
cash (n.) ,A2
"cast (v.), (n.) ",B2
castle (n.) ,A2
cat (n.) ,A1
catch (v.) ,A1
category (n.) ,B2
"cause (n.), (v.) ",B2
CD (n.) ,A1
cease (v.) ,B2
ceiling (n.) ,A2
celebrate (v.) ,B1
celebration (n.) ,B1
cell (n.) ,B2
cellphone (also cellular phone) (n.) (especially NAmE) ,A1
"cent (n.) (abbr. c, ct) ",A2
centimetre (BrE) (NAmE centimeter) (n.) (abbr. cm) ,A2
central (adj.) ,B1
centre (BrE) (NAmE center) (n.) ,A2
century (n.) ,A2
ceremony (n.) ,B1
"certain (adj.), (pron.)",B1
certainly (adv.) ,A2
certificate (n.) ,B1
"chain (n.), (v.) ",A2
chair (n.) ,A1
"chairman, chairwoman (n.) ",B2
"challenge (n.), (v.) ",B1
chamber (n.) ,B2
chance (n.) ,B1
"change (v.), (n.) ",A1
channel (n.) ,A2
chapter (n.) ,B1
character (n.) ,B1
"characteristic (adj.), (n.) ",B2
"charge (n.), (v.) ",B1
charity (n.) ,B1
"chart (n.), (v.) ",B2
"chase (v.), (n.) ",B2
"chat (v.), (n.) ",A2
cheap (adj.) ,A1
cheaply (adv.) ,A2
"cheat (v.), (n.) ",B2
"check (v.), (n.) ",A2
cheek (n.) ,B1
cheerful (adj.) ,B1
cheerfully (adv.) ,B2
cheese (n.) ,A1
"chemical (adj.), (n.) ",B2
chemist (n.) ,A2
chemist’s (n.) (BrE) ,A2
chemistry (n.) ,A2
cheque (n.) (BrE) (NAmE check) ,A2
chest (n.) ,B2
chew (v.) ,B2
chicken (n.) ,A2
"chief (adj.), (n.) ",B2
child (n.) ,A1
chin (n.) ,B1
chip (n.) ,A1
chocolate (n.) ,A1
choice (n.) ,B1
choose (v.) ,A1
chop (v.) ,B2
church (n.) ,A2
cigarette (n.) ,A2
cinema (n.) (especially BrE) ,A1
circle (n.) (v.),A2
circumstance (n.) ,B2
citizen (n.) ,B2
city (n.) ,A1
civil (adj.) ,C1
"claim (v.), (n.) ",B2
"clap (v.), (n.) ",B1
class (n.) ,A1
"classic (adj.), (n.) ",B2
classroom (n.) ,A1
"clean (adj.), (v.) ",A1
"clear (adj.), (v.) ",A2
clearly (adv.) ,A2
clerk (n.) ,B1
clever (adj.) ,A1
"click (v.), (n.) ",A2
client (n.) ,B2
climate (n.) ,B1
climb (v.) ,A2
climbing (n.) ,A2
clock (n.) ,A1
close (adj.) ,A1
close (v.) ,A1
closed (adj.) ,A1
closely (adv.) ,B2
closet (n.) (especially NAmE) ,A2
cloth (n.) ,B2
clothes (n.) ,A1
clothing (n.) ,B2
cloud (n.) ,A2
club (n.) ,A2
cm (abbr. centimeter) ,A2
coach (n.) ,A2
coal (n.) ,C1
coast (n.) ,B1
coat (n.) ,A1
code (n.) ,B2
coffee (n.) ,A1
coin (n.) ,B1
"cold (adj.), (n.) ",A1
coldly (adv.) ,A2
"collapse (v.), (n.) ",B2
colleague (n.) ,A2
collect (v.) ,A2
collection (n.) ,B1
college (n.) ,A2
"colour (BrE) (NAmE color) (n.), (v.) ",A1
coloured (BrE) (NAmE colored) (adj.) ,A2
column (n.) ,B2
combination (n.) ,B2
combine (v.) ,B2
come (v.) ,A1
comedy (n.) ,B1
"comfort (n.), (v.) ",B2
comfortable (adj.) ,A2
comfortably (adv.) ,B2
"command (v.), (n.) ",B2
"comment (n.), (v.) ",B1
commercial (adj.) (n.),B2
"commission (n.), (v.) ",B2
commit (v.) ,B2
commitment (n.) ,B2
committee (n.) ,B2
common (adj.) ,B1
commonly (adv.) ,C1
communicate (v.) ,B1
communication (n.) ,B1
community (n.) ,B2
company (n.) ,A2
compare (v.) ,B1
comparison (n.) ,B2
compete (v.) ,B1
competition (n.) ,A2
competitive (adj.) ,B2
complain (v.) ,B1
complaint (n.) ,B1
"complete (adj.), (v.) ",A2
completely (adv.) ,B1
complex (adj.) ,B2
complicate (v.) ,C1
complicated (adj.) ,B1
computer (n.) ,A1
concentrate (v.) ,B1
concentration (n.) ,B2
concept (n.) ,B2
"concern (v.), (n.) ",B2
concerned (adj.) ,B2
concerning (prep.) ,B2
concert (n.) ,A2
conclude (v.) ,C1
conclusion (n.) ,B1
"concrete (adj.), (n.) ",B2
condition (n.) ,B1
"conduct (v.), (n.) ",B2
conference (n.) ,B1
confidence (n.) ,B2
confident (adj.) ,B1
confidently (adv.) ,B2
confine (v.) ,C2
confined (adj.) ,C2
confirm (v.) ,B1
"conflict (n.), (v.) ",B2
confront (v.) ,C2
confuse (v.) ,B2
confused (adj.) ,B1
confusing (adj.) ,B1
confusion (n.) ,B2
congratulations (n.) ,A2
congress (n.) ,B2
connect (v.) ,B1
connection (n.) ,B1
conscious (adj.) ,B2
consequence (n.) ,B2
conservative (adj.) ,C1
consider (v.) ,B1
considerable (adj.) ,B1
considerably (adv.) ,B2
consideration (n.) ,B2
consist of (v.) ,B1
constant (adj.) ,B2
constantly (adv.) ,B2
construct (v.) ,B2
construction (n.) ,B2
consult (v.) ,C1
consumer (n.) ,B2
"contact (n.), (v.) ",A2
contain (v.) ,B1
container (n.) ,B2
contemporary (adj.) ,B2
content (n.) ,B2
contest (n.) ,B1
context (n.) ,B2
continent (n.) ,B1
continue (v.) ,B1
continuous (adj.) ,B2
continuously (adv.) ,B2
"contract (n.), (v.) ",B1
"contrast (n.), (v.) ",B2
contrasting (adj.) ,B2
contribute (v.) ,B2
contribution (n.) ,B2
"control (n.), (v.) ",B1
controlled (adj.) ,B2
convenient (adj.) ,B1
convention (n.) ,C1
conventional (adj.) ,B2
conversation (n.) ,A1
convert (v.) ,B2
convince (v.) ,B1
"cook (v.), (n.) ",A1
cooker (n.) (BrE) ,A2
cookie (n.) (especially NAmE) ,C2
cooking (n.) ,A2
"cool (adj.), (v.) ",A2
cope (with) (v.) ,B2
"copy (n.), (v.) ",A2
core (n.) ,C2
corner (n.) ,A2
"correct (adj.), (v.) ",A2
correctly (adv.) ,B1
"cost (n.), (v.) ",A2
cottage (n.) ,B1
cotton (n.) ,B1
"cough (v.), (n.) ",B1
coughing (n.) ,B1
could (modal) (v.) ,A2
council (n.) ,B2
count (v.) ,B1
counter (n.) ,B2
country (n.) ,A1
countryside (n.) ,A2
county (n.) ,B2
couple (n.) ,B1
courage (n.) ,B2
course (n.) ,A1
court (n.) ,B1
cousin (n.) ,A2
"cover (v.), (n.) ",A2
covered (adj.) ,A2
covering (n.) ,A2
cow (n.) ,A1
"crack (n.), (v.) ",B2
cracked (adj.) ,B2
craft (n.) ,B2
"crash (n.), (v.) ",B1
crazy (adj.) ,A2
"cream (n.), (adj.) ",A2
create (v.) ,B1
creature (n.) ,B1
credit (n.)  (v.),B1
credit card (n.) ,A1
crime (n.) ,B1
"criminal (adj.), (n.) ",B1
crisis (n.) ,B2
crisp (adj.) ,C2
criterion (n.) ,C1
critical (adj.) ,B2
criticism (n.) ,B2
criticize (BrE also -ise) (v.) ,B2
crop (n.) ,B1
"cross (n.), (v.) ",A2
crowd (n.) ,A2
crowded (adj.) ,A2
crown (n.) ,B1
crucial (adj.) ,B2
cruel (adj.) ,B1
crush (v.) ,C2
"cry (v.), (n.) ",A2
ct (abbr. cent) ,A2
cultural (adj.) ,B1
culture (n.) ,B1
cup (n.) ,A1
cupboard (n.) ,A2
curb (v.) ,C2
"cure (v.), (n.) ",B2
curious (adj.) ,B1
curiously (adv.) ,B1
"curl (v.), (n.) ",B1
curly (adj.) ,B1
"current (adj.), (n.) ",B2
currently (adv.) ,B2
curtain (n.) ,A2
"curve (n.), (v.) ",B2
curved (adj.) ,B2
custom (n.) ,B1
customer (n.) ,A2
customs (n.) ,B1
"cut (v.), (n.) ",A2
"cycle (n.), (v.) ",B1
cycling (n.) ,A2
dad (n.) ,A1
daily (adj.) ,A2
"damage (n.), (v.) ",B1
damp (adj.) ,B2
"dance (n.), (v.) ",A1
dancer (n.) ,A2
dancing (n.) ,A1
danger (n.) ,A2
dangerous (adj.) ,A2
dare (v.) ,B2
"dark (adj.), (n.) ",A1
data (n.) ,B2
"date (n.), (v.) ",A1
daughter (n.) ,A1
day (n.) ,A1
dead (adj.) ,A2
deaf (adj.) ,B1
"deal (v.), (n.) ",B2
deal with ,B1
dear (adj.) ,A1
death (n.) ,B1
"debate (n.), (v.) ",B2
debt (n.) ,B2
decade (n.) ,B2
"decay (n.), (v.) ",B2
December (n.) (abbr. Dec.) ,A1
decide (v.) ,A2
decision (n.) ,B1
declare (v.) ,B1
"decline (n.), (v.) ",B2
decorate (v.) ,B1
decoration (n.) ,B2
decorative (adj.) ,B2
"decrease (v.), (n.) ",B1
"deep (adj.), (adv.) ",A2
deeply (adv.) ,B2
"defeat (v.), (n.) ",B1
defence (BrE) (NAmE defense) (n.) ,B1
defend (v.) ,B1
define (v.) ,B2
definite (adj.) ,B2
definitely (adv.) ,B1
definition (n.) ,B2
degree (n.) ,A2
"delay (n.), (v.) ",A2
deliberate (adj.) ,B2
deliberately (adv.) ,B2
delicate (adj.) ,B2
"delight (n.), (v.) ",B2
delighted (adj.) ,B1
deliver (v.) ,B1
delivery (n.) ,B1
"demand (n.), (v.) ",B1
demonstrate (v.) ,B2
dentist (n.) ,A2
deny (v.) ,B2
department (n.) ,A2
departure (n.) ,B1
depend (on) (v.) ,B1
"deposit (n.), (v.) ",B1
depress (v.) ,B2
depressed (adj.) ,B1
depressing (adj.) ,B2
depth (n.) ,B1
derive (v.) ,C1
describe (v.) ,A2
description (n.) ,B1
"desert (n.), (v.) ",A2
deserted (adj.) ,C1
deserve (v.) ,B1
"design (n.), (v.) ",B1
"desire (n.), (v.) ",B2
desk (n.) ,A1
desperate (adj.) ,B2
desperately (adv.) ,B2
despite (prep.) ,B1
destroy (v.) ,B1
destruction (n.) ,B2
detail (n.) ,A2
detailed (adj.) ,B2
determination (n.) ,B2
determine (v.) ,C1
determined (adj.) ,B2
develop (v.) ,B1
development (n.) ,B1
device (n.) ,B2
devote (v.) ,B2
devoted (adj.) ,B2
diagram (n.) ,B1
diamond (n.) ,B2
diary (n.) ,A2
dictionary (n.) ,A1
die (v.) ,A1
diet (n.) ,B1
difference (n.) ,A2
different (adj.) ,A1
differently (adv.) ,B1
difficult (adj.) ,A1
difficulty (n.) ,B1
dig (v.) ,B1
dinner (n.) ,A1
"direct (adj.), (v.) ",B1
direction (n.) ,B1
directly (adv.) ,B1
director (n.) ,B1
dirt (n.) ,B1
dirty (adj.) ,A2
disabled (adj.) ,B1
disadvantage (n.) ,B1
disagree (v.) ,B1
disagreement (n.) ,B2
disappear (v.) ,B1
disappoint (v.) ,B1
disappointed (adj.) ,B1
disappointing (adj.) ,B1
disappointment (n.) ,B1
disapproval (n.) ,C1
disapprove (of) (v.) ,B2
disapproving (adj.) ,B2
disaster (n.) ,B2
"disc (also disk, especially in NAmE) (n.) ",B1
discipline (n.) ,B2
discount (n.) ,A2
discover (v.) ,B1
discovery (n.) ,B2
discuss (v.) ,A2
discussion (n.) ,B1
disease (n.) ,B1
"disgust (v.), (n.) ",C2
disgusted (adj.) ,C1
disgusting (adj.) ,B1
dish (n.) ,A2
dishonest (adj.) ,B2
dishonestly (adv.) ,C1
disk (n.) ,B1
"dislike (v.), (n.) ",B1
dismiss (v.) ,C1
"display (v.), (n.) ",B1
dissolve (v.) ,C1
distance (n.) ,B1
distinguish (v.) ,B2
distribute (v.) ,B2
distribution (n.) ,C1
district (n.) ,B1
disturb (v.) ,B2
disturbing (adj.) ,C2
divide (v.) ,B1
division (n.) ,B2
"divorce (n.), (v.) ",B1
divorced (adj.) ,B1
"do (v.), auxiliary (v.) ",A1
"doctor (n.) (abbr. Dr, NAmE Dr.) ",A1
document (n.) ,A2
dog (n.) ,A1
dollar (n.) ,A1
domestic (adj.) ,B2
dominate (v.) ,B2
door (n.) ,A1
dot (n.) ,B1
"double (adj.), (det.), (adv.), (n.), (v.) ",A2
"doubt (n.), (v.) ",B1
"down (adv.), (prep.) ",A1
"downstairs (adv.), (adj.), (n.) ",A2
downward (adj.) ,C1
downwards (also downward especially in NAmE) (adv.) ,C1
"dozen (n.), (det.) ",B1
"Dr (BrE) (also Dr. NAmE, BrE) (abbr. doctor) ",A2
"draft (n.), (adj.), (v.) ",B2
drag (v.) ,B1
drama (n.) ,B1
dramatic (adj.) ,B2
dramatically (adv.) ,B2
draw (v.) ,A1
drawer (n.) ,A2
drawing (n.) ,A2
"dream (n.), (v.) ",A2
"dress (n.), (v.) ",A1
dressed (adj.) ,A2
"drink (n.), (v.) ",A1
"drive (v.), (n.) ",A1
driver (n.) ,A1
driving (n.) ,A1
"drop (v.), (n.) ",B1
drug (n.) ,B2
drugstore (n.) (NAmE) ,B1
drum (n.) ,A2
drunk (adj.) ,B2
"dry (adj.), (v.) ",A2
due (adj.) ,B1
due to ,B1
dull (adj.) ,B1
"dump (v.), (n.) ",C1
during (prep.) ,A2
"dust (n.), (v.) ",B1
duty (n.) ,B1
DVD (n.) ,A1
dying (adj.) ,A2
e.g. (abbr.) ,B2
"each (det.), (pron.)",A1
each other (also one another) (pron.),A2
ear (n.) ,A1
"early (adj.), (adv.) ",A1
earn (v.) ,A2
earth (n.) ,B1
"ease (n.), (v.) ",B2
easily (adv.) ,A2
"east (n.), (adj.), (adv.) ",A2
eastern (adj.) ,B1
easy (adj.) ,A1
eat (v.) ,A1
economic (adj.) ,B2
economy (n.) ,B2
edge (n.) ,B1
edition (n.) ,B2
editor (n.) ,B2
educate (v.) ,B2
educated (adj.) ,B2
education (n.) ,B1
effect (n.) ,B1
effective (adj.) ,B2
effectively (adv.) ,B2
efficient (adj.) ,B1
efficiently (adv.) ,B2
effort (n.) ,B1
egg (n.) ,A1
"either (det.), (pron.), (adv.) ",B1
elbow (n.) ,B1
elderly (adj.) ,B1
elect (v.) ,B2
election (n.) ,B1
electric (adj.) ,A2
electrical (adj.) ,B1
electricity (n.) ,A2
electronic (adj.) ,B1
elegant (adj.) ,B2
element (n.) ,B2
elevator (n.) (NAmE) ,A2
else (adv.) ,A2
elsewhere (adv.) ,B2
"email (also e-mail) (n.), (v.) ",A1
embarrass (v.) ,C2
embarrassed (adj.) ,B1
embarrassing (adj.) ,B1
embarrassment (n.) ,B2
emerge (v.) ,B2
emergency (n.) ,B1
emotion (n.) ,B2
emotional (adj.) ,B2
emotionally (adv.) ,B2
emphasis (n.) ,B2
emphasize (BrE also -ise) (v.) ,B2
empire (n.) ,C1
employ (v.) ,B1
employee (n.) ,B1
employer (n.) ,B1
employment (n.) ,B1
"empty (adj.), (v.) ",A2
enable (v.) ,B2
"encounter (v.), (n.) ",B2
encourage (v.) ,B1
encouragement (n.) ,B2
"end (n.), (v.) ",A1
ending (n.) ,B1
enemy (n.) ,B1
energy (n.) ,B1
engage (v.) ,C1
engaged (adj.) ,B1
engine (n.) ,A2
engineer (n.) ,A2
engineering (n.) ,B1
enjoy (v.) ,A1
enjoyable (adj.) ,B1
enjoyment (n.) ,B2
enormous (adj.) ,B1
"enough (det.), (pron.), (adv.) ",A2
enquiry (also inquiry especially in NAmE) (n.) ,B1
ensure (v.) ,B2
enter (v.) ,A2
entertain (v.) ,B1
entertainer (n.) ,B2
entertaining (adj.) ,B2
entertainment (n.) ,B1
enthusiasm (n.) ,B2
enthusiastic (adj.) ,B2
entire (adj.) ,B2
entirely (adv.) ,B2
entitle (v.) ,B2
